,name,review,preprocessed_review
0,베스트인 시티 부산역,위치가 부산역이랑 가까워서 좋았는데 객실 청소가 조금 미흡해서 아쉬웠어요 그리고 13일 토요일에 새벽에 관리자분이 친절하셨어요,위치가 부산역이랑 가까워서 좋았는데 객실 청소가 조금 미흡해서 아쉬웠어요 그리고 13일 토요일에 새벽에 관리자분이 친절하셨어요
1,베스트인 시티 부산역,마사지도 너무 잘 받았고 숙박도 좋았어요,마사지도 너무 잘 받았고 숙박도 좋았어요
2,베스트인 시티 부산역,부산출장시 항상숙박하는 곳입니다가성비 좋아요,부산 출장 시 항상 숙박하는 곳입니다 구성비  좋아요
3,베스트인 시티 부산역,초량역에서 정말 가깝습니다그리고 타이마사지도 시원하게 잘 받았습니다 다만 밤에 예약이 몰려있어 이용하실 거면 미리 말씀드려야 합니다 직원분들 서비스도 괜찮았고요다만 객실 내 창틀이나 구석진 곳에 먼지가 쌓여있었고 세면대 배수구쪽이 녹이 슬어있어서 조금 아쉬웠습니다그리고 저희 일행은 계속 돌아다녔는데 모기는 어디서 들어온 건지 모기때문에 밤잠은 조금 설쳤네요더보기,초량역에서 정말 가깝습니다 그리고 타이마사지도 시원하게 잘 받았습니다 다만 밤에 예약이 몰려있어 이용하실 거면 미리 말씀드려야 합니다 직원분들 서비스도 괜찮았고요 다만 객실 내 창틀이나 구석진 곳에 먼지가 쌓여있었고 세면대 배수구 쪽이 녹이 슬어있어서 조금 아쉬웠습니다 그리고 저희 일행은 계속 돌아다녔는데 모기는 어디서 들어온 건지 모기 때문에 밤잠은 조금 설쳤네요 
4,베스트인 시티 부산역,객실에서 냄새담배가 지독히 납니다 최소한의 객실관리가  전혀 안되고 있엇니 다시는 묵고싶은 생각이 없습니다,객실에서 냄새 담배가 지독히 납니다 최소한의 객실 관리가  전혀 안되고 있었니 다시는 묵고 싶은 생각이 없습니다
5,베스트인 시티 부산역,객실에서 냄새담배가 지독히 납니다 최소한의 객실관리가  전혀 안되고 있엇니 다시는 묵고싶은 생각이 없습니다,객실에서 냄새 담배가 지독히 납니다 최소한의 객실 관리가  전혀 안되고 있었니 다시는 묵고 싶은 생각이 없습니다
6,베스트인 시티 부산역,음 일단 세면대가 바닥이 떨어졌는지 달그락거리고 전등하나가 나가서 계속 깜빡이더라구요 그리고 어메니티도 별로 없어서 좀 아쉬웠네요  교통은 정말 좋았습니다,음 일단 세면대가 바닥이 떨어졌는지 달그락거리고 전등 하나가 나가서 계속 깜빡이더라고요 그리고 어메니티도 별로 없어서 좀 아쉬웠네요  교통은 정말 좋았습니다
7,베스트인 시티 부산역,방욕실 넓고 깨끗합니다 세번째 방문인데 매번 만족 스러워요,방욕실 넓고 깨끗합니다 세 번째 방문인데 매번 만족스러워요
8,베스트인 시티 부산역,잘쉬다 갑니다욕실에 물이 잘안빠지네요,잘 쉬다 갑니다 욕실에 물이 잘 안 빠지네요
9,베스트인 시티 부산역,구형 2g 와이파이는 안되요 참고하세요시설은 준호텔 서비스는 모텔이하남자직원들은 너무 친절한데,구형 2g 와이파이는 안돼요 참고하세요 시설은 준호텔 서비스는 모텔 이하 남자 직원들은 너무 친절한데
10,베스트인 시티 부산역,카운터 보시는분이 더친절했으면 바램이요,카운터 보시는 분이 더 친절했으면 바람이요
11,베스트인 시티 부산역,예상했던거보단 만족합니다욕실도 꽤 넖고 그런데 스파는 없네요그게 조금 아쉬웠습니다,예상했던 거보단 만족합니다 욕실도 꽤 넖고 그런데 스파는 없네요 그게 조금 아쉬웠습니다
12,베스트인 시티 부산역,그냥 보통의 숙박 업소와 같습니다주차는 직접 주차타워에 하셔야 합니다,그냥 보통의 숙박업소와 같습니다 주차는 직접 주차타워에 하셔야 합니다
13,베스트인 시티 부산역,체크인 도와주셨던 직원분 너무 친절하시고 신속한 안내해주셨어요 2성급 그 이상의 호텔입니다 지하에 있는 마사지샵도 좋았습니다,체크인 도와주셨던 직원분 너무 친절하시고 신속한 안내해주셨어요 2성급 그 이상의 호텔입니다 지하에 있는 마사지숍도 좋았습니다
14,베스트인 시티 부산역,객실 자체는 욕실도 그렇고 넓고 좋았습니다 하지만 조식이 제공된다고 해서 8시쯤 내려갔는데 빵은 아예 없고 음료 우유도 거의 바닥이더라구요 좀 채워달라고 부탁드리려해도 프론트는 비어있고 객실은 아주 만족하지만 조식은 아쉬움이 컸습니다,객실 자체는 욕실도 그렇고 넓고 좋았습니다 하지만 조식이 제공된다고 해서 8시쯤 내려갔는데 빵은 아예 없고 음료 우유도 거의 바닥이더라고요 좀 채워달라고 부탁드리려 해도 프런트는 비어있고 객실은 아주 만족하지만 조식은 아쉬움이 컸습니다
