,name,noun_extraction
0,골드리버 호텔,"[('깨끗', 52), ('친절', 45), ('깔끔', 31), ('직원', 31), ('만족', 27), ('경치', 25), ('객실', 22), ('시설', 22), ('청결', 19), ('주차', 19), ('먼지', 19), ('괜찮', 18), ('구성비', 17), ('위치', 17), ('욕조', 13), ('주변', 13), ('프런트', 12), ('소음', 12), ('가격', 12), ('냄새', 11), ('불편', 11), ('배달', 10), ('예약', 10), ('소리', 10), ('편하', 10), ('따뜻', 9), ('출장', 9), ('교통', 9), ('근처', 9), ('음식', 8), ('맛있', 8), ('컨디션', 8), ('바닥', 8), ('샤워', 8), ('타워', 8), ('에어컨', 8), ('조용', 8), ('침대', 7), ('사람', 7), ('단점', 7), ('숙박', 7), ('양호', 7), ('입실', 7), ('주차장', 6), ('세면대', 6), ('서비스', 6), ('감사', 6), ('욕실', 6), ('온돌', 6), ('화장실', 6)]"
1,노보텔 앰배서더 동대문 호텔 & 레지던스,"[('수영장', 72), ('친절', 55), ('직원', 47), ('깨끗', 41), ('만족', 34), ('객실', 31), ('시설', 31), ('서비스', 30), ('깔끔', 23), ('레지', 22), ('맛있', 21), ('사람', 20), ('예약', 18), ('경치', 18), ('주차', 16), ('침대', 16), ('체크인', 15), ('컨디션', 14), ('실내', 12), ('편하', 12), ('조식', 12), ('불편', 11), ('괜찮', 11), ('루프', 11), ('추천', 10), ('룸서비스', 10), ('위치', 9), ('청결', 9), ('야외', 9), ('주변', 8), ('음식', 8), ('입장', 8), ('감사', 8), ('상태', 8), ('요청', 8), ('요리', 8), ('성급', 8), ('의사', 7), ('구성비', 7), ('가격', 7), ('아이', 7), ('먼지', 7), ('프런트', 7), ('요수', 7), ('영장', 7), ('체크아웃', 7), ('대기', 7), ('박스', 6), ('실외', 6), ('체크', 6)]"
2,도미인 서울 강남,"[('친절', 53), ('조식', 53), ('맛있', 46), ('직원', 37), ('야식', 33), ('만족', 29), ('구성비', 29), ('라멘', 28), ('객실', 27), ('서비스', 26), ('깔끔', 25), ('시설', 22), ('깨끗', 20), ('편하', 17), ('사우나', 13), ('괜찮', 13), ('경치', 12), ('침대', 12), ('제공', 11), ('위치', 11), ('청결', 10), ('컨디션', 10), ('가격', 9), ('혼자', 9), ('도미', 9), ('냄새', 8), ('숙박', 8), ('목욕탕', 8), ('라면', 8), ('욕장', 7), ('사우', 7), ('불편', 7), ('지하', 7), ('투숙객', 7), ('음식', 7), ('저렴', 7), ('편안', 7), ('소리', 7), ('프런트', 6), ('근처', 6), ('특히', 6), ('새벽', 6), ('힐링', 6), ('방음', 6), ('실내복', 6), ('아쉽', 5), ('주변', 5), ('온천', 5), ('무조건', 5), ('마음', 5)]"
3,뜨랑블루 호텔,"[('친절', 42), ('직원', 39), ('깨끗', 34), ('깔끔', 33), ('괜찮', 33), ('냄새', 29), ('조식', 28), ('시설', 25), ('객실', 23), ('만족', 23), ('불편', 18), ('신림', 18), ('구성비', 16), ('담배', 15), ('청소', 15), ('청결', 15), ('침대', 15), ('욕조', 15), ('주차', 13), ('서비스', 13), ('위치', 13), ('보디', 12), ('수건', 11), ('화장실', 11), ('상태', 11), ('프런트', 11), ('가깝', 10), ('예약', 10), ('모텔', 9), ('컨디션', 9), ('타월', 9), ('편하', 9), ('간단', 9), ('맛있', 9), ('요즘', 9), ('애인', 9), ('칫솔', 8), ('거울', 8), ('따뜻', 8), ('일회용품', 8), ('설거지', 8), ('친구', 7), ('분위기', 7), ('치약', 7), ('먼지', 7), ('주변', 7), ('포함', 6), ('불안', 6), ('조용', 6), ('숙박', 6)]"
4,라마다 호텔앤스위트 서울 남대문,"[('친절', 41), ('조식', 38), ('시설', 31), ('직원', 28), ('깨끗', 23), ('괜찮', 22), ('위치', 22), ('만족', 21), ('침대', 19), ('구성비', 19), ('청결', 19), ('객실', 19), ('화장실', 19), ('청소', 18), ('먼지', 17), ('노후', 17), ('주변', 17), ('욕조', 13), ('경치', 12), ('상태', 12), ('편하', 11), ('예약', 11), ('깔끔', 11), ('서비스', 10), ('침구', 10), ('가격', 10), ('프런트', 10), ('맛있', 9), ('접근성', 9), ('변기', 9), ('불편', 9), ('머리카락', 8), ('저렴', 8), ('편의점', 8), ('근처', 7), ('욕실', 7), ('체크인', 7), ('수건', 7), ('에어컨', 7), ('바닥', 7), ('주차', 7), ('모텔', 7), ('티브이', 7), ('응대', 7), ('편의', 7), ('샤워', 7), ('편안', 7), ('전반', 6), ('교통', 6), ('감사', 6)]"
5,로사나 부티크 호텔,"[('친절', 39), ('호수', 38), ('깨끗', 25), ('위치', 25), ('직원', 24), ('시설', 24), ('깔끔', 22), ('청결', 20), ('만족', 18), ('괜찮', 18), ('침대', 16), ('객실', 15), ('냄새', 15), ('근처', 15), ('주변', 14), ('가깝', 12), ('구성비', 12), ('편하', 11), ('불편', 11), ('편의점', 11), ('화장실', 11), ('주차', 10), ('먼지', 10), ('모텔', 10), ('청소', 10), ('조식', 9), ('일단', 9), ('예약', 8), ('바닥', 8), ('교통', 8), ('잠실', 8), ('서비스', 8), ('경치', 8), ('욕실', 7), ('거리', 7), ('타워', 7), ('가격', 7), ('산책', 6), ('식당', 6), ('사람', 6), ('에어컨', 6), ('침구', 6), ('숙박', 6), ('내부', 6), ('나쁘', 6), ('접근성', 6), ('업그레이드', 6), ('조용', 5), ('창문', 5), ('건조', 5)]"
6,롯데시티호텔 명동,"[('친절', 71), ('직원', 47), ('깨끗', 41), ('위치', 31), ('객실', 31), ('깔끔', 29), ('주차', 26), ('서비스', 17), ('체크아웃', 17), ('체크인', 16), ('경치', 14), ('접근성', 13), ('만족', 13), ('불편', 13), ('시설', 12), ('건물', 12), ('청결', 12), ('침구', 12), ('고층', 11), ('가깝', 10), ('근처', 10), ('괜찮', 9), ('컨디션', 9), ('주차장', 9), ('편하', 9), ('프런트', 9), ('편의점', 9), ('업그레이드', 9), ('숙박', 8), ('화장실', 8), ('편안', 8), ('감사', 8), ('소리', 8), ('침대', 8), ('시티', 7), ('레이트', 7), ('편리', 7), ('주변', 7), ('베개', 6), ('청소', 6), ('교통', 6), ('지하철', 6), ('명동', 6), ('체크', 6), ('상태', 6), ('푹신', 6), ('카페', 6), ('테이블', 6), ('편히', 6), ('먼지', 6)]"
7,명동 티마크 그랜드 호텔,"[('경치', 83), ('남산', 82), ('친절', 39), ('깨끗', 36), ('위치', 34), ('직원', 34), ('깔끔', 34), ('만족', 27), ('객실', 23), ('타워', 21), ('욕조', 21), ('시설', 19), ('편하', 17), ('불편', 16), ('청결', 15), ('침대', 14), ('창문', 14), ('교통', 13), ('예약', 13), ('컨디션', 12), ('편리', 11), ('명동', 11), ('구성비', 11), ('청소', 10), ('괜찮', 10), ('주변', 10), ('마음', 9), ('프런트', 9), ('편의점', 9), ('감사', 9), ('화장실', 9), ('샤워', 9), ('푹신', 9), ('체크아웃', 8), ('접근성', 8), ('코로나', 8), ('조용', 8), ('상태', 8), ('에어컨', 7), ('방음', 7), ('가깝', 7), ('사람', 7), ('추천', 7), ('티브이', 7), ('침구', 7), ('사진', 7), ('엘리베이터', 6), ('지하철역', 6), ('주차장', 6), ('와인', 6)]"
8,목시 바이 메리어트 서울 인사동,"[('친절', 47), ('깨끗', 42), ('위치', 36), ('깔끔', 34), ('직원', 32), ('객실', 28), ('만족', 25), ('시설', 25), ('화장실', 23), ('침대', 23), ('소리', 22), ('청소', 20), ('접근성', 18), ('방음', 16), ('서비스', 15), ('공간', 14), ('체크', 13), ('편하', 13), ('가격', 12), ('컨디션', 11), ('배정', 11), ('청결', 11), ('예약', 10), ('특히', 10), ('경치', 10), ('체크인', 10), ('체크아웃', 9), ('맥주', 9), ('지하철역', 9), ('냄새', 8), ('숙박', 8), ('푹신', 7), ('드링크', 7), ('마음', 7), ('구성비', 7), ('분위기', 7), ('교통', 7), ('단점', 7), ('스탠더드', 7), ('헬스', 6), ('감사', 6), ('주변', 6), ('상태', 6), ('포차', 6), ('편리', 6), ('사람', 6), ('루프', 6), ('불편', 6), ('티브이', 6), ('의자', 6)]"
9,서울가든호텔,"[('친절', 38), ('깔끔', 33), ('깨끗', 32), ('위치', 31), ('침대', 26), ('객실', 25), ('주변', 24), ('만족', 23), ('시설', 20), ('주차', 19), ('직원', 19), ('서비스', 19), ('청결', 18), ('구성비', 17), ('괜찮', 16), ('교통', 12), ('가깝', 12), ('발레', 11), ('냄새', 11), ('화장실', 11), ('접근성', 11), ('예약', 11), ('편리', 10), ('편하', 10), ('조식', 10), ('불편', 10), ('먼지', 9), ('가격', 9), ('소리', 9), ('프런트', 9), ('공간', 8), ('푹신', 8), ('비용', 8), ('청소', 8), ('상태', 8), ('마포', 8), ('쾌적', 7), ('경치', 7), ('편안', 7), ('아쉽', 7), ('의사', 7), ('방음', 7), ('편의', 7), ('친구', 7), ('공덕', 6), ('마음', 6), ('침구', 6), ('지하철역', 6), ('수건', 6), ('내부', 5)]"
